"eBay Motors","eBay Auto"
"Selected Options","Options sélectionnées"
"[Reset]","[Réinitialiser]"
"Must be greater than ""Min"".","Doit être supérieur à la valeur « Min. »."
"Inconsistent settings in Relist and Stop rules.","Paramètres incohérents dans les règles de modification et d'arrêt des ventes."
"Require to select at least one day of week.","Vous devez sélectionner au moins un jour de la semaine."
"You should specify time.","Vous devez spécifier une heure."
"Wrong value.","Valeur incorrecte."
"Must be greater than ""Active From"" Date.","Doit être supérieure à la date « Actif à partir du »."
"Must be greater than ""From Time"".","Doit être supérieure à la valeur « Heure de début »."
"List Rules","Règles de mise en vente"
"Schedule","Programmation"
"List Action - at first this action to be executed for each item, that has Not Listed status and its settings meet the List Condition. If an item is not listed for some reason, autosynchronization will attempt to list it again according to the Schedule in case the Product Status, Stock Availability or Quantity is changed.
                                           ","Tâche Mettre en vente - Cette tâche doit être appliquée à tous les objets dont le statut est Non mis en vente et dont les paramètres remplissent les conditions de mise en vente. Si l'objet n'est pas mis en vente, la synchronisation automatique tentera de le mettre à nouveau en vente en fonction de la programmation dans le cas où le statut du produit, la disponibilité ou la quantité seraient modifiés.                                           "
"List Action","Action Mettre en vente"
"Enables automatic listing of unlisted items if they meet List Conditions.","Permet la mise en vente automatique des objets non mis en vente qui remplissent les conditions de mise en vente."
"List Conditions","Conditions de mise en vente"
"<b>Enabled</b> â€“ M2E Listing items automatically list on eBay if this status is set to Enabled.<br/>
<b>Any</b> â€“ M2E Listing items automatically list on eBay regardless of its status.
","<b>Activé</b> – Si le statut est Activé, les objets de l'annonce M2E sont mis en vente automatiquement sur eBay.<br/><b>Tout</b> – Les objets de l'annonce M2E sont mis en vente automatiquement sur eBay quel que soit le statut. "
"<b>In Stock</b> - M2E Listing items list automatically, if the products are in stock.
                                    <br/><b>Any</b> - M2E Listing items list automatically, regardless of the stock availability.","<b>En stock</b> - Les objets de l'annonce M2E sont mis en vente automatiquement si les produits sont en stock.                                    <br/><b>Tout</b> - Les objets de l'annonce M2E sont mis en vente automatiquement, quelle que soit la disponibilité."
"M2E Pro will automatically list M2E Listings items if they meet defined conditions.
                                    <br/><b>More or Equal</b> â€“ the number of Magento products are more than, or equal to, the item quantity chosen.
                                    <br/><b>Between</b> â€“ the number of Magento products are between the two numbers chosen.","M2E Pro mettra en vente automatiquement les objets des annonces M2E s'ils remplissent les conditions définies.                                    <br/><b>Supérieure ou égale</b> – Le nombre de produits Magento est supérieur ou égal à la quantité d'objets choisie.                                    <br/><b>Entre</b> – Le nombre de produits Magento est compris entre les deux valeurs choisies."
"Relist Rules define the conditions when you want eBay items to be relisted.","Les règles de remise en vente déterminent les conditions de remise en vente des objets sur eBay."
"Activates relist action for any M2E Pro Listing that uses the current Synchronization Policy.","Active la tâche Remettre en vente pour toutes les annonces ME2 Pro qui utilisent les conditions Synchronisation actuelles."
"Automatically relists an item by over-riding any manual stop.","La remise en vente automatique de l'objet remplace l'arrêt manuel."
"Updates title, subtitle, description, price, quantity and shipment on eBay items.
                                    <br/><b>Note:</b> If No is selected, eBay items with existing data on eBay are relisted.","Permet de mettre à jour le titre, le sous-titre, la description, le prix, la quantité et l'envoi dans les annonces eBay.                                    <br/><b>Remarque :</b> si la valeur Non est sélectionnée, les objets eBay associés à des données existantes sur eBay sont remis en vente."
"Stock availability when item will be relisted.","Disponibilité lors de la remise en vente de l'objet."
"Product quantity when item will be relisted.","Quantité des produits lors de la remise en vente de l'objet."
"Set preferences for revising items.
                                           <ul class=""list"">
                                              <li><b>Partial Revise</b> - updates particular data you specified.
                                              </li>
                                              <li><b>Full Revise</b> - set 'Yes' in the policy option which data change will launch updating data on eBay.
                                              </li></ul>
                                           ","Définissez les préférences de modification des objets.                                           <ul class=""list"">                                              <li><b>Modification partielle</b> - Les données spécifiées sont mises à jour.                                              </li>                                              <li><b>Modification complète</b> - Choisissez Oui pour l'option des conditions dont la modification déclenchera la mise à jour des données sur eBay.                                              </li></ul>                                           "
"Automatically revises the eBay quantity if there is a change to the quantity (or attribute for quantity) in Magento.","Modifie automatiquement la quantité sur eBay si la quantité (ou l'attribut de quantité) est modifiée dans Magento."
"Conditional Revise","Modification conditionnelle"
"Only revises the quantity on eBay when they meet the specific conditions you set.","Modifie la quantité sur eBay uniquement lorsque les conditions spécifiques définies sont remplies."
"Revise When Less or Equal to","Modifier si inférieur ou égal à"
"We recommend not setting this value too high. Initially try a value from 10 - 20.","Il est recommandé de ne pas définir une valeur trop élevée. Commencez par utiliser une valeur comprise entre 10 et 20."
