"eBay Motors","eBay Motori"
"
                                                        A value you want the Magento Price to be modified while listing on eBay.
                                                        <br/>
                                                        <br/><b>Absolute Value increase</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to increase the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Absolute Value decrease</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to reduce the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Percentage increase (%)</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to increase by 10% the price
                                                        <br/>of a #currency_placeholder#2.00 item selling on your Magento store.
                                                        <br/>In the box type â€œ10â€. The item will then go on sale
                                                        <br/>for #currency_placeholder#2.2 on eBay.
                                                        <br/>
                                                        <br/><b>Percentage decrease (%)</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to reduce by 10% the price of a #currency_placeholder#2.00 item selling
                                                        <br/>on your Magento store.
                                                        <br/>In the box type: â€œ10â€. The item will then go on sale for #currency_placeholder#1.80
                                                        <br/>on eBay.
                                                    ","                                                        Un valore in base al quale desideri che il prezzo Magento venga modificato durante la messa in vendita su eBay.                                                        <br/>                                                        <br/><b>Incremento valore assoluto</b>                                                        <br/>Il prezzo su eBay verrà aumentato rispetto al prezzo in Magento,                                                        <br/>ad esempio se desideri aumentare il prezzo di un oggetto in vendita su eBay                                                        <br/>dell'#currency_placeholder#1,50, inserisci “1,5” nella casella.                                                        <br/>                                                        <br/><b>Riduzione valore assoluto</b>                                                        <br/>Il prezzo su eBay verrà diminuito rispetto al prezzo in Magento,                                                        <br/>ad esempio se desideri ridurre il prezzo di un oggetto in vendita su eBay                                                        <br/>dell'#currency_placeholder#1,50, inserisci “1,5” nella casella.                                                        <br/>                                                        <br/><b>Incremento percentuale (%)</b>                                                        <br/>Il prezzo su eBay verrà aumentato rispetto al prezzo in Magento,                                                        <br/>ad esempio se desideri aumentare del 10% il prezzo                                                        <br/>di un oggetto #currency_placeholder#2.00 in vendita nel negozio Magento.                                                        <br/>Inserisci ""10"" nella casella. In seguito, l'oggetto verrà messo in vendita                                                        <br/>per #currency_placeholder#2.2 su eBay.                                                        <br/>                                                        <br/><b>Riduzione percentuale (%)</b>                                                        <br/>Il prezzo su eBay verrà diminuito rispetto al prezzo in Magento,                                                        <br/>ad esempio se desideri ridurre del 10% il prezzo di un oggetto #currency_placeholder#2.00 in vendita                                                        <br/>nel negozio Magento.                                                        <br/>Inserisci ""10"" nella casella. In seguito, l'oggetto verrà messo in vendita per #currency_placeholder#1.80                                                        <br/>su eBay.                                                    "
"The starting price at which bidding begins.","Prezzo di partenza delle offerte."
"Absolute Value increase","Incremento valore assoluto"
"Absolute Value decrease","Riduzione valore assoluto"
"Percentage increase","Incremento percentuale"
"Percentage decrease","Riduzione percentuale"
"Variation Price","Prezzo variante"
"Main Product","Prodotto principale"
"Associated Products","Prodotti associati"
"This determines where the price for Configurable and Bundle products options should be taken from.","Determina il punto da cui è consigliabile acquisire il prezzo per le opzioni dei prodotti Configurabile e Pacchetto."
"The lowest price at which you are selling an item.<br/><b>Note:</b> eBay charges some additional fee for using this option.","Prezzo più basso a cui stai vendendo un oggetto.<br/><b>Nota:</b> per utilizzare questa opzione eBay applica una tariffa aggiuntiva."
"Donation","Donazione"
"Organization","Organizzazione"
"Search for Charity Organization","Cerca organizzazione di beneficenza"
"Allows you to support your favourite <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">charities</a>.","Ti permette di sostenere le tue <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">organizzazioni di beneficenza</a> preferite."
"Donation Percentage","Percentuale di donazione "
"Best Offer","Proposta d'acquisto"
"Allow Best Offer","Consenti proposta d'acquisto"
"The <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Best Offer option </a> option allows you to accept offers from buyers and negotiate a price. You can accept Best Offers on fixed price and Classified Ads in certain eBay categories, such as eBay Motors.","L'opzione <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Proposta d'acquisto </a> ti permette di accettare le proposte degli acquirenti e negoziare un prezzo. Puoi accettare le Proposte d'acquisto nelle Inserzioni Compralo Subito e Contatto Diretto in determinate categorie eBay, ad esempio eBay Motori."
"Auto Action","Azione automatica"
"Accept Offers of at Least","Accetta le proposte pari ad almeno"
"Decline Offers Less than","Rifiuta le proposte inferiori a"
"Enter the organization name or ID","Inserisci il nome o l'ID dell'organizzazione"
"Location or Zip/Postal Code should be specified.","È necessario specificare il luogo o il codice postale."
"Select one or more international ship-to locations.","Seleziona uno o più luoghi di spedizione internazionale."
"PayPal payment method should be specified for Cross Border trade.","Per le transazioni internazionali, è consigliabile specificare il metodo di pagamento PayPal."
"You should specify at least one shipping method.","È necessario specificare almeno un metodo di spedizione."
"Select shipping service","Seleziona servizio di spedizione"
"Excluded Shipping Locations","Destinazioni di spedizione escluse"
"No locations are currently excluded.","Al momento non è stato escluso alcun luogo."
"selected","selected"
"Location","Luogo"
"The country your product will be shipped from.","Il paese da cui verrà spedito il prodotto."
"Zip/Postal Code of the item location. Especially useful in ""Collection Only"" items.","Il codice postale del luogo in cui si trova l'oggetto. Particolarmente utile per gli oggetti ""Solo ritiro""."
"City, State","Città"
"City, State of the item location.","Città e provincia del luogo in cui si trova l'oggetto."
"Domestic Shipping","Spedizione nazionale"
"Calculated: cost varies by buyer location","Calcolata: il costo varia in base al luogo in cui si trova l'acquirente"
"Flat: same cost to all buyers","Fissa: stessa tariffa per tutti gli acquirenti"
"Freight: large items","Trasporto: oggetti grandi"
"No Shipping: local pickup only","Non è prevista la spedizione: ritiro dell'oggetto solo in zona"
"Use eBay Shipping Rate Table","Utilizza tabella di tariffe di spedizioni eBay"
"<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">The eBay Shipping Rate Table</a> can help with shipping charges.","<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">La tabella delle tariffe di spedizione eBay</a> può aiutarti nel definire le spese di spedizione."
"Service","Servizio"
"Cost","Costo"
"Additional Cost","Spese aggiuntive"
"Add Method","Aggiungi metodo"
"Add Shipping Method","Aggiungi metodo di spedizione"
"Local pickup","Ritiro in zona"
"Item is available for local pickup only.","L'oggetto è disponibile solo per il ritiro in zona."
"Freight","Trasporto"
"Specify your own freight shipping options in your item description.","Specifica le tue opzioni di spedizione nella descrizione dell'oggetto."
"Get It Fast","Spedizione immediata"
"At least one qualifying shipping service and a single day dispatch time must be offered to enable this option.","Per attivare questa opzione, occorre offrire almeno un servizio di spedizione e un tempo di spedizione di un giorno."
"Exception handling times","Eccezione tempi di imballaggio"
"Same Business Day","Stesso giorno lavorativo"
"The dispatch time is the time between the buyerâ€™s payment clearing and you sending the item. Buyers are increasingly expecting short dispatch times, ideally next day, but preferably within 3 working days. Click <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">here</a> to find out more.
                                    <br/><b>Note:</b> Magento Attribute must contain a numeric value. If you want to set 'Same Business Day' via attribute, set 0 in it.","Il tempo di spedizione è il tempo che intercorre tra la data in cui è stato effettuato il pagamento e l'invio dell'oggetto. Gli acquirenti si aspettano tempi di spedizione sempre più brevi, meglio se entro il giorno successivo e preferibilmente entro 3 giorni lavorativi. Clicca <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">qui</a> per ulteriori informazioni.                                    <br/><b>Nota:</b> l'attributo Magento deve contenere un valore numerico. Se desideri impostare ""Stesso giorno lavorativo"" con un attributo, seleziona 0."
"Handling Cost","Costi di imballaggio"
"Addition of handling cost to the shipping costs.","Aggiunta dei costi di imballaggio alle spese di spedizione."
"Handling Cost Value","Valore costi di imballaggio"
"Combined Shipping Profile","Profilo spedizione combinato"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                    <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Utilizza i profili di Regola per la spedizione a tariffa fissa e Regola per la spedizione calcolata precedentemente creati su eBay.                                                                                    <br /><br /><strong>Nota:</strong> premi il pulsante ""Aggiorna profili"" per caricare nuovi profili di spedizione eBay o per aggiornare quelli esistenti."
"Refresh Profiles","Aggiorna profili"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                                            <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Utilizza i profili di Regola per la spedizione a tariffa fissa e Regola per la spedizione calcolata precedentemente creati su eBay.                                                                                                            <br /><br /><strong>Nota:</strong> premi il pulsante ""Aggiorna profili"" per caricare nuovi profili di spedizione eBay o per aggiornare quelli esistenti."
