"eBay Motors","eBay Motor"
"The <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Best Offer option </a> option allows you to accept offers from buyers and negotiate a price. You can accept Best Offers on fixed price and Classified Ads in certain eBay categories, such as eBay Motors.","La opción <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Mejor oferta </a> te permite aceptar ofertas de los compradores y negociar un precio. Puedes aceptar Mejores ofertas en anuncios en formato Precio fijo y anuncios clasificados de ciertas categorías de eBay, como eBay Motor."
"Auto Action","Subasta automática"
"Accept Offers of at Least","Aceptar ofertas de al menos"
"Decline Offers Less than","Rechazar ofertas inferiores a"
"Enter the organization name or ID","Escribir el nombre o el identificador de la organización"
"Location or Zip/Postal Code should be specified.","Debes especificar la ubicación o código postal."
"Select one or more international ship-to locations.","Selecciona uno o varios destinos internacionales de envío."
"PayPal payment method should be specified for Cross Border trade.","Se debe especificar la forma de pago PayPal para los compradores internacionales."
"You should specify at least one shipping method.","Debes especificar al menos una forma de pago."
"Select shipping service","Seleccionar servicio de envío"
"Excluded Shipping Locations","Destinos de envío excluidos"
"No locations are currently excluded.","Actualmente no se excluye ninguna ubicación."
"selected","seleccionados"
"Location","Ubicación"
"The country your product will be shipped from.","El país desde el que se enviará el producto."
"Zip/Postal Code of the item location. Especially useful in ""Collection Only"" items.","Código postal de la ubicación del artículo. Especialmente útil en los artículos ""Solo recogida local""."
"City, State","Ciudad, Provincia"
"City, State of the item location.","Ciudad o provincia de la ubicación del artículo."
"Domestic Shipping","Envíos nacionales"
"Calculated: cost varies by buyer location","Tarifa calculada: la tarifa varía según la ubicación del comprador"
"Flat: same cost to all buyers","Fijos: mismo coste para todos los compradores"
"Freight: large items","Mercancía: artículos grandes"
"No Shipping: local pickup only","No incluye envío; solo recogida local"
"Use eBay Shipping Rate Table","Usar la tabla de gastos de envío de eBay"
"<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">The eBay Shipping Rate Table</a> can help with shipping charges.","<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">La tabla de gastos de envío de eBay</a> puede ayudar con los gastos de envío."
"Service","Servicio"
"Cost","Coste"
"Additional Cost","Gastos de envío adicionales"
"Add Method","Añadir forma"
"Add Shipping Method","Añadir forma de envío"
"Local pickup","Recogida local"
"Item is available for local pickup only.","El artículo está disponible para recogida local solamente."
"Freight","Mercancía"
"Specify your own freight shipping options in your item description.","Especifica tus propias opciones de envío de la mercancía en la descripción del artículo."
"Get It Fast","Envío rápido"
"At least one qualifying shipping service and a single day dispatch time must be offered to enable this option.","Para activar esta opción, debe ofrecerse al menos un servicio de envío que cumpla los requisitos y un tiempo de envío de un solo día."
"Exception handling times","Tiempos de manipulación de excepciones"
"Same Business Day","El mismo día laborable"
"The dispatch time is the time between the buyerâ€™s payment clearing and you sending the item. Buyers are increasingly expecting short dispatch times, ideally next day, but preferably within 3 working days. Click <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">here</a> to find out more.
                                    <br/><b>Note:</b> Magento Attribute must contain a numeric value. If you want to set 'Same Business Day' via attribute, set 0 in it.","El tiempo de envío es el plazo que transcurre entre la liquidación del pago del comprador y el envío del artículo por parte del vendedor. El comprador espera un plazo de envío cada vez más breve, al día siguiente si es posible, pero en cualquier caso en un plazo de 3 días laborables. Pulsa <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">aquí</a> si necesitas más información.                                    <br/><b>Nota</b>: el atributo Magento debe contener un valor numérico. Si quieres establecer 'El mismo día laborable' a través del atributo, establécelo como 0."
"Handling Cost","Gastos de manipulación"
"Addition of handling cost to the shipping costs.","Suma de los gastos de manipulación y los gastos de envío."
"Handling Cost Value","Valor de gastos de manipulación"
"Combined Shipping Profile","Perfil de envío combinado"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                    <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Usa los perfiles Regla de gastos de envío fijos y Regla de gastos de envío calculados que se crearon en eBay.                                                                                    <br /><br /><strong>Nota:</strong> pulsa el botón ""Actualizar perfiles"" para cargar nuevos perfiles de envío de eBay o actualizarlos."
"Refresh Profiles","Actualizar perfiles"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                                            <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Usa los perfiles Regla de gastos de envío fijos y Regla de gastos de envío calculados que se crearon en eBay.                                                                                    <br /><br /><strong>Nota:</strong> pulsa el botón ""Actualizar perfiles"" para cargar nuevos perfiles de envío de eBay o actualizarlos."
"You do not have eBay accounts added to M2E.","No has añadido ninguna cuenta de eBay a M2E."
"Promotional Shipping Rule","Regla de gastos de envío promocionales"
"Adding Shipping Discounts according to the rules that are set in your eBay Account.","Suma de los descuentos en los gastos de envío según las reglas configuradas en tu cuenta de eBay."
